171	377	642	283	356	294	23	373	797	992	
992	16	995	92	173	617	958	973	26	457	
844	570	41	521	932	276	45	51	396	644	
426	389	839	490	174	640	588	715	804	627	
480	747	375	990	31	328	162	89	894	14	
970	649	973	465	110	401	377	718	207	584	
124	991	251	568	417	706	650	980	444	330	
370	595	168	167	923	247	828	759	602	571	
538	274	566	589	152	316	302	924	126	106	
517	375	442	484	904	487	462	970	920	430	
53	733	786	994	21	215	579	908	158	256	
173	771	733	365	63	596	846	28	329	926	
894	379	673	310	315	466	544	175	525	985	
477	364	226	277	762	812	685	275	55	507	
38	397	965	185	308	484	437	624	479	117	
725	389	684	549	158	238	665	527	322	23	
702	532	179	941	238	834	415	754	395	617	
987	1000	279	825	395	446	394	313	756	711	
189	826	358	563	753	156	296	615	814	127	
633	159	606	367	451	111	75	553	521	910	
909	854	479	65	364	36	673	724	736	112	
78	937	279	214	560	403	290	671	923	714	
145	836	349	38	585	525	605	724	120	79	
274	167	684	730	118	460	367	612	873	992	
201	585	583	636	732	861	644	200	701	415	
111	800	331	872	892	99	295	798	170	857	
413	379	833	395	195	413	323	738	243	845	
702	365	453	395	81	264	679	129	137	540	
140	194	447	600	232	833	156	362	893	433	
822	510	426	391	249	940	950	979	269	47	
591	294	471	259	314	152	810	686	669	412	
509	336	366	988	907	723	608	325	150	535	
492	460	214	695	606	943	127	802	648	892	
846	583	203	804	840	911	480	976	469	591	
262	314	962	247	382	475	585	844	312	964	
978	387	786	996	923	780	775	774	165	667	
363	768	829	236	476	164	176	808	909	512	
939	379	895	8	657	983	640	92	45	165	
138	967	483	685	756	264	382	595	654	669	
337	991	749	64	330	152	583	958	980	459	
457	120	188	949	728	155	433	799	859	536	
719	606	710	538	760	14	351	78	222	598	
233	855	78	271	270	413	945	173	536	742	
997	863	916	445	578	976	751	511	895	405	
719	746	702	182	27	644	247	822	539	557	
777	415	696	315	214	589	944	406	993	694	
972	862	612	387	188	606	326	141	576	922	
951	642	14	992	57	944	184	356	741	448	
745	553	511	374	303	684	971	771	681	658	
199	393	526	738	832	505	103	810	929	770	
