17	45	36	67	87	45	8	71	60	40	
95	0	12	8	99	65	62	71	58	85	
95	36	2	12	7	57	85	3	82	45	
69	59	75	38	36	59	30	82	17	76	
26	31	74	72	53	39	28	33	5	32	
77	87	96	81	23	0	52	68	34	15	
61	97	4	33	39	12	88	24	22	22	
37	27	12	23	100	56	30	80	58	13	
58	59	12	77	44	50	8	10	88	100	
81	0	93	78	35	77	4	77	42	9	
62	1	20	3	51	48	39	95	98	2	
77	77	57	83	95	55	57	99	43	50	
97	4	81	22	30	100	92	3	54	67	
45	39	43	52	5	33	29	9	89	99	
15	13	69	41	99	36	39	56	89	3	
37	37	96	14	23	12	82	78	97	32	
26	66	71	41	87	6	69	61	68	14	
32	17	70	77	18	84	74	78	97	60	
92	49	96	80	76	29	42	40	34	42	
91	8	5	10	7	41	79	23	21	22	
25	45	31	17	80	72	5	1	0	50	
26	17	77	8	22	78	14	32	31	33	
36	24	97	82	1	5	2	22	5	92	
45	77	79	40	74	25	42	61	9	38	
67	38	76	99	90	79	7	46	92	7	
11	74	50	24	35	38	74	49	65	75	
95	75	66	85	3	17	0	62	3	74	
67	41	68	45	4	31	99	23	48	87	
9	25	10	16	39	97	14	65	29	51	
75	17	99	21	99	45	36	21	85	53	
94	68	82	56	41	23	80	21	33	9	
9	34	6	1	0	80	40	86	28	41	
34	50	51	92	91	91	79	39	98	77	
25	48	88	89	36	26	4	59	100	87	
24	90	90	41	34	91	87	59	4	31	
55	94	77	30	69	34	30	92	67	30	
41	48	5	91	83	25	49	39	82	33	
22	81	99	8	18	1	21	38	56	6	
44	64	73	65	1	95	79	40	82	100	
39	0	2	20	96	40	91	51	24	27	
77	56	19	21	16	3	24	2	14	0	
42	82	71	0	19	43	52	49	87	85	
89	28	39	100	50	38	93	8	59	60	
95	99	2	55	33	4	47	3	22	28	
71	88	86	43	38	54	86	84	5	63	
54	6	12	95	87	37	39	71	56	10	
24	34	78	0	12	9	40	26	8	61	
90	53	24	73	88	29	43	4	46	77	
16	71	100	70	6	10	73	59	9	23	
94	40	42	80	52	72	50	76	7	64	
15	68	33	10	61	85	55	77	80	5	
0	14	80	35	37	59	18	100	5	3	
97	93	94	23	5	36	83	71	42	16	
75	19	39	12	42	91	28	91	58	15	
17	2	20	8	27	63	4	92	57	24	
1	34	55	88	68	79	66	87	10	83	
70	9	68	93	60	83	12	71	10	43	
6	60	68	26	45	94	12	5	38	80	
9	47	85	28	26	100	94	65	91	23	
17	56	29	64	16	2	13	86	17	50	
93	61	40	3	49	48	47	88	59	96	
63	75	12	35	23	10	74	27	91	60	
41	21	73	10	83	48	39	97	36	46	
70	93	46	81	33	13	74	80	53	37	
51	66	19	69	22	100	80	90	53	76	
39	99	96	74	60	74	39	15	47	18	
31	92	51	17	50	55	23	32	99	56	
54	43	31	69	83	81	65	7	78	62	
86	74	97	52	14	42	40	35	67	51	
26	33	27	9	67	65	6	58	10	79	
73	32	1	61	5	44	84	33	87	69	
35	95	49	77	85	76	66	76	43	97	
0	14	48	42	100	31	38	91	38	88	
99	93	32	55	3	67	12	66	97	91	
60	61	100	51	83	14	64	6	93	90	
15	51	56	92	25	8	4	50	27	19	
77	52	28	79	57	79	54	28	23	18	
48	43	96	9	98	10	73	47	32	99	
88	2	11	48	96	19	9	5	78	56	
59	89	62	13	2	33	48	34	22	13	
94	14	2	7	10	19	94	55	69	1	
78	97	31	90	46	96	87	94	38	3	
25	9	57	45	28	29	32	31	39	97	
7	10	46	76	20	76	97	50	16	83	
27	32	14	70	74	86	29	61	87	2	
49	99	81	36	1	4	17	3	69	91	
73	5	67	1	11	54	95	99	68	86	
74	33	81	12	71	92	89	5	44	84	
56	30	90	62	90	1	32	53	100	14	
37	15	58	81	59	39	44	1	60	81	
47	73	14	11	91	5	99	92	60	34	
68	11	99	74	89	1	60	63	65	52	
69	9	66	61	94	73	16	80	67	23	
87	48	39	83	75	23	100	75	82	74	
24	54	29	90	91	43	58	70	17	58	
2	9	14	95	5	72	20	33	7	0	
14	64	79	92	71	58	40	39	76	75	
93	27	27	64	92	77	85	47	48	13	
84	43	5	65	88	71	66	46	12	25	
38	42	66	60	1	79	16	36	67	11	
